# Mean 50, lengthscale=1000
2.023577430248630662e+03 2.087062415600193162e+03 4.050143470287693162e+03
2.025767472183406881e+03 2.090068985855281881e+03 4.046936661636531881e+03
2.025261392601232728e+03 2.089060220726232728e+03 4.046818277366857728e+03
2.026577743506781871e+03 2.093426376319282099e+03 4.042971054053657099e+03
2.026462110983084585e+03 2.093474318014334585e+03 4.043106642233084585e+03
2.026586855231165146e+03 2.092780947028039918e+03 4.042768984137414918e+03
2.025840639498592282e+03 2.093019594576717282e+03 4.043580141451717282e+03
2.025650733907421909e+03 2.091529151876171909e+03 4.045331153829296909e+03
2.024765661432567413e+03 2.093439733698192413e+03 4.044958288385692413e+03
2.025446677045173828e+03 2.090978049115486556e+03 4.044272604779549056e+03
2.024809616584114110e+03 2.089194015998176837e+03 4.045717941779426837e+03
2.025458558109138266e+03 2.092351624515388266e+03 4.043366272952888266e+03
2.026219867537888376e+03 2.092774799178513604e+03 4.041682514022263604e+03
2.026132784171994672e+03 2.092560396476681944e+03 4.041701998039181944e+03
2.024857159906208608e+03 2.091773175531208381e+03 4.043605939203083381e+03
2.024346471054514950e+03 2.087928014023264950e+03 4.045464146835764950e+03
2.024226804170720243e+03 2.088369870576970243e+03 4.045294675264470243e+03
2.021292552114421142e+03 2.086221751333171142e+03 4.049836741567546142e+03
2.020188207540997610e+03 2.079846898947247610e+03 4.053652440939435110e+03
2.015774545580684617e+03 2.072507821947871889e+03 4.063489267260371889e+03
2.015177328357994611e+03 2.072012777576744611e+03 4.062891195545494611e+03
2.010899493741919514e+03 2.066093829679419741e+03 4.070633502530982241e+03
2.011063627460750922e+03 2.064956571796688422e+03 4.070490629413875922e+03
2.013312959032638673e+03 2.069638032274825946e+03 4.067009248095138446e+03
2.012011928246785374e+03 2.068738246606160374e+03 4.067194911645222874e+03
2.007035927020797999e+03 2.054942909442673226e+03 4.078788124286423226e+03
2.005209239193784697e+03 2.052790415951596970e+03 4.081793467709409470e+03
2.005153117580470052e+03 2.051048503322657325e+03 4.082170573635157325e+03
2.001236678205537828e+03 2.046385726057100328e+03 4.088775984846162828e+03
